gene,BrownBear1_S,BrownBear1_W,BrownBear2_S,BrownBear2_W,BrownBear3_S,BrownBear3_W,BrownBear4_S,BrownBear4_W,BrownBear5_S,BrownBear5_W
AIF1,60,21,66,49,71,26,69,45,63,35
AIF1L,104,140,145,109.25,132,269,146,173,166,205
AIFM1,507,388,472,429,596,454,452,384,475,472
AIFM2,570,378,275,237.5,509,510.5,350,256,382,537.5
AIFM3,45,177,49,275.5,65.5,159.5,55,131,42.5,230.5
AIG1,314.5,459,253,406,392,346,408,402,468,360.75
AIMP1,497.4,387.7,500,488.4,616,492.2,477.8,384.4,454.8,355.4
AIMP2,574,324,569,403,620,472,479,307,498,330
AIP,623,456,650,468,890,575,728,602,696,547
AIPL1,1,2,1,6,1,2,0,0,1,1
AIRE,0,7,1,9.5,1,3,0,0,0,7.5
AIRIM,311,553,266.25,480,291,563,334,439,301,574
AJAP1,0,22,7,22,1,20,0,22,2,5
AJM1,9.5,4,31,19,15.5,29,40,6,26,47
AJUBA,2799,5352,2660,8122,2434,5657,3982,4318,3280,4919
AK1,359,228,316,186.5,276.5,303.5,285.5,168.5,279,282
AK2,1712,1252,1444,1337,1809,1851.5,1688.5,1415,1431,1379.5
