"","BrownBear1_S","BrownBear1_W","BrownBear2_S","BrownBear2_W","BrownBear3_S","BrownBear3_W","BrownBear4_S","BrownBear4_W","BrownBear5_S","BrownBear5_W"
"ACAT1",1637.70139974187,1624.37023995476,1379.31717860341,1532.79864815542,1587.15598019579,1826.46993266562,1260.3474625153,918.572913175552,1547.05020380798,1609.19445593633
"ACAT2",1190.47056562768,717.215848944702,1557.43038844612,719.456089846585,1345.46676018995,585.070450710137,1350.86965595563,978.56134832171,1269.26494621815,719.8296443653
"ACBD3",781.84958769602,761.732694741269,698.670269561604,802.117002297044,729.825321828638,974.17980494845,889.305944347815,885.766737704996,964.769567706217,995.903304623806
"ACBD4",365.721137728865,607.407629313168,459.065594416046,438.817189551818,467.202389853795,330.039741426231,344.183284948931,539.895916315426,378.215312256922,406.699116958001
"ACBD5",526.595538489363,588.611627754617,478.14915261348,559.236790405572,407.255851033451,539.127418522963,565.017646968187,588.63651987168,519.244750725605,567.896489055249
"ACBD6",390.388545845475,529.255833359194,364.708001106512,721.497100030547,374.90375071771,715.398644057428,354.130778733582,476.158203972633,336.547523618448,580.866392557327
"ACBD7",52.5523042484293,74.1947429942795,54.0700815593957,40.8202036792389,38.0612944891076,51.5687095978487,32.8267294893489,47.803284257095,47.0098128228943,74.1137342975855
"ACCSL",27.8848961318196,39.5705295969491,46.6486978159493,40.8202036792389,68.5103300803936,67.5081289280928,19.8949875693023,24.3703017781269,67.3095047236896,75.9665776550252
"ACD",131.917008623608,192.906331785127,139.946093447848,154.096268889127,154.148242680886,126.577741740174,114.396178523489,150.908407164555,136.755819121147,139.889673486693
"ACE2",197.339264932877,684.570162027219,156.909256290011,693.943462547061,141.778321971926,393.797418747208,238.739850831628,341.184224893776,61.9674805392698,229.752576322515
"ACER1",500.855634367683,155.314328668025,421.958675698814,147.973238337241,309.248017723999,165.957483614895,441.668724038512,254.950849371173,169.87636906455,93.5685895507017
"ACER2",220.934177044417,617.300261712405,178.113209842715,516.375576542372,212.191716776775,625.387805486637,162.144148689814,548.331790007855,274.580043079178,528.986778549017
