"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ABR",3013.80640473594,0.706342854173106,0.0779567946206406,7.74671278265214e-20,2.97885578679325e-18
"ABRACL",49.9373161784602,-1.69501710179518,0.263152291117832,1.93243750239456e-11,2.60164164128635e-10
"ABRAXAS1",241.771527597082,0.393055971091028,0.136705200220297,0.00338860491338436,0.00872230956996266
"ABRAXAS2",445.366482306078,0.440652064487582,0.121367201822666,0.000228500621813748,0.000806223190898192
"ABT1",518.004910485013,-0.570105782970433,0.122330448797895,2.15893330310422e-06,1.20585989872751e-05
"ABTB1",454.87701937263,0.342038756122163,0.166889741904996,0.0349663571714637,0.0656200110660643
"ABTB2",335.379112351439,-0.143142409885253,0.151103797298443,0.332016370072717,0.431202554123062
"ABTB3",641.346206070959,0.756479397637858,0.18657275137875,2.66333490160725e-05,0.000117460922072384
"ACAA1",1338.36438925969,-0.591999241394489,0.193047817934425,0.0014131842634678,0.00404257735011452
"ACAA2",1762.77570619936,0.442640624848529,0.137252838838885,0.00101559743834907,0.00303407156175711
"ACACA",2424.69280626532,-1.5379354834529,0.186427883305948,2.92727086324304e-17,8.53988937789086e-16
"ACACB",191.156836953652,0.790974986775375,0.201072243141934,4.16683926160139e-05,0.00017670522096892
"ACAD10",150.477876025432,0.0721289350074504,0.20850599180226,0.719338427466796,0.787955268714016
"ACAD11",930.924799313583,0.581253097364625,0.138587125378867,1.87821992766812e-05,8.5949135917403e-05
"ACAD8",347.910976489243,-0.633315765506317,0.168040633198716,0.000102436741056416,0.000394463915212013
"ACAD9",2031.80464331184,-0.697476193502885,0.148141296613316,1.00483224729356e-06,5.96144173604413e-06
"ACADL",194.001642790669,-1.3142772945332,0.278519399872946,5.32607391245475e-07,3.34895634324283e-06
"ACADM",585.452142305422,-0.0238349028732498,0.14382767918354,0.863853527496771,0.901230332209364
"ACADS",679.337239796416,-0.106978721705628,0.204279090621228,0.583625081001165,0.670247920636152
"ACADSB",506.739372970729,-0.42196983275088,0.244886184448977,0.0660284083190177,0.113068924694932
"ACAN",178.188261689605,-0.966385351006916,0.221099957361366,4.64936693565945e-06,2.41285875961157e-05
"ACAP1",434.151901389166,1.27673011767929,0.199054619380998,3.57850312796701e-11,4.63054107101303e-10
"ACAP2",1032.66053717781,0.236399587631046,0.153293444548874,0.114603723039869,0.179848467293828
"ACAP3",927.543442791238,-0.651768143679161,0.153153103711019,1.27702211053841e-05,6.06714407833189e-05
"ACAT1",1492.2978414752,0.0175743567867022,0.17367968077508,0.914091527951042,0.939009886608388
"ACAT2",1043.3635698626,-0.830208878048407,0.148996720465606,1.19538029146019e-08,9.93804151873407e-08
"ACBD3",848.412023545586,0.117357286889549,0.132981262727158,0.36979554563246,0.469847366570472
"ACBD4",433.72473127692,0.193459132804317,0.179658690542613,0.266838767353508,0.361756221198972
"ACBD5",533.977178544017,0.184095514525155,0.113907167158351,0.102041302597117,0.163343822858617
"ACBD6",484.385477399885,0.711979987022436,0.146073635520818,6.27135874422826e-07,3.88656888467798e-06
"ACBD7",51.3020897435223,0.325798795600816,0.254337703179496,0.170934711114066,0.250915069921945
"ACCSL",47.8484157958587,0.0835757666036867,0.357940776931641,0.790540518220161,0.8443594642412
