"","logFC","logCPM","F","PValue","FDR"
"FAM110A",-1.98088765078075,4.27873287134022,177.190126136624,1.12156016582688e-08,1.44068716993408e-06
"LOC130544867",5.36807428699315,0.701261877200293,88.1278489261588,1.16582366143867e-08,1.47316527444868e-06
"SLC39A6",-2.08721382831475,7.83514608987942,175.957651573713,1.16631697673498e-08,1.47316527444868e-06
"LOC130544083",2.32687225438871,3.16829262072733,175.971055455918,1.17330966825364e-08,1.47316527444868e-06
"LOC113256358",-3.08606347218479,2.83704645822204,176.097013602922,1.18843099552011e-08,1.47863584637765e-06
"ENTPD2",-2.09984438747768,5.92855678934755,175.218491835319,1.19537600611403e-08,1.47863584637765e-06
"LOC113249769",-6.28170286286494,4.13460597950179,177.436292254621,1.21107395243796e-08,1.48703852439423e-06
"TOP1",-1.24996070022895,6.02120301261296,174.14478463173,1.23830515961083e-08,1.50937648615629e-06
"CARMIL2",3.87797899530781,2.9144898116986,176.246908056624,1.25225420774531e-08,1.51531833443036e-06
"LOC123002195",4.27879837569562,4.06896503901087,174.06584133258,1.26843929699715e-08,1.52386099428456e-06
"KRT74",-7.68070080429465,6.44117726009754,174.6618517663,1.3275962162024e-08,1.583537801026e-06
"LOC123002060",3.58497040558105,0.959330416237693,156.852822432616,1.37022300818568e-08,1.61648563832888e-06
"NKD1",-2.2529786924363,4.98713591934782,171.0433484109,1.37457908044015e-08,1.61648563832888e-06
"KLF11",2.72798170860356,6.43868726314196,170.415057014886,1.40361964423006e-08,1.63909401671313e-06
"LOC123002135",2.29635717408063,2.96511158535713,169.923643128026,1.43853589113707e-08,1.66820214209014e-06
"LOC130543755",2.60949544944605,2.74279983937615,169.211523767904,1.48574091064519e-08,1.71106120461131e-06
"HAS3",-1.71796816639063,6.06122871776299,168.111003205191,1.51793272685001e-08,1.73616154833344e-06
"ALDH18A1",-2.01568102592743,5.75510335511953,167.167702152681,1.5683807511971e-08,1.77531310022297e-06
"RARRES2",-2.37177472554864,4.20814030487599,167.113274311738,1.57342558735852e-08,1.77531310022297e-06
"LOC130544133",2.43940947200096,5.68918611239481,166.836676227184,1.58647422175435e-08,1.77802235094469e-06
"TMEM132A",-2.78489816363066,4.74307449162127,165.718349824095,1.65061861828623e-08,1.83757868711745e-06
"LTBP3",-1.49644681294089,6.9745336196931,165.271619898458,1.67451451201919e-08,1.85183561829196e-06
"LOC113270031",-6.38600063738202,4.7625577700037,168.248218080201,1.71078948442741e-08,1.87950484213508e-06
"LOC125282371",-5.84662631614017,2.66344381781954,139.899540829611,1.72917182016e-08,1.88728367482692e-06
"SPINK14",4.18826298606472,0.930707168263476,126.348912330827,1.75416597631169e-08,1.89068097765511e-06
"SERPINA9",-4.1665691269192,4.50981449972621,164.148776422751,1.7549287474492e-08,1.89068097765511e-06
"TAGLN",-2.00689222195644,8.05461131274339,161.884350923964,1.88653838688452e-08,2.01944259760157e-06
"DDIT4",-1.31250274702603,6.74122407318273,160.358438215324,1.99216048923239e-08,2.11892280316507e-06
"LOC113267174",-1.16923881756552,7.24656461958169,160.016721510297,2.01673809534403e-08,2.12821165214463e-06
"SOCS2",-1.93973754074193,4.24503082976307,159.917109755001,2.02638273364271e-08,2.12821165214463e-06
"DPP4",-2.37177127922271,5.46088116384537,159.577087064041,2.0496119596521e-08,2.1391543821394e-06
"LOC113248820",-1.9272740494119,4.15908431644423,158.971297508114,2.09691793789216e-08,2.17493370464976e-06
"MME",-2.43823426429936,3.6757329333764,157.950784124478,2.18015500693547e-08,2.24730916424786e-06
"LOC130543600",-1.9076988446437,4.16619891425169,157.192265682882,2.23691626513047e-08,2.29167268168182e-06
"LOC130544859",3.37171278947206,4.42999308594469,156.587600450408,2.29240380811294e-08,2.334198243395e-06
"LOC113250190",1.70743738891816,4.81169656033046,155.605671763729,2.36928369648539e-08,2.39785869379452e-06
"TGM6",-8.73289761507191,2.08080105982297,216.558017221363,2.38415149143999e-08,2.39837022623834e-06
"CITED4",-2.1781506705428,5.21433551156638,155.261227128602,2.39924687757147e-08,2.39910321009377e-06
"LTBP1",-2.02063886978077,6.2997797603366,154.303247200746,2.48499862863335e-08,2.47005905354454e-06
"LOC125280882",3.54784322595512,2.67944578405568,154.948501295505,2.59946905859843e-08,2.5685522964222e-06
"DLX4",-3.93491544836465,3.75623405064594,153.172841153305,2.63588176919667e-08,2.58044335655701e-06
"NPHP3",1.40748390600551,4.86284486011955,152.66662660092,2.64240861112191e-08,2.58044335655701e-06
"BROX",1.52288197857757,7.07593533760021,152.083455254125,2.70017794381722e-08,2.61714996918382e-06
"LOC125281766",3.5497711302862,2.66696035361079,153.847109488966,2.71134166518236e-08,2.61714996918382e-06
"LOC113265494",-5.44622781473012,4.31075772280398,153.141964983542,2.79360066098328e-08,2.68105387573332e-06
"ACO2",-1.7255412085279,6.76406922925728,150.827738811456,2.83150592288594e-08,2.69773137606462e-06
"SLC4A5",3.32700593737805,4.99953404960429,150.761975448819,2.84328835371803e-08,2.69773137606462e-06
"ADK",-1.38104384492181,5.67141513834219,150.222284695481,2.89776784271397e-08,2.71882098559064e-06
