"","logFC","logCPM","F","PValue","FDR"
"IVD",-1.52925058068583,4.96629359692863,128.247044164009,7.12915749568854e-08,4.70552573203569e-06
"GLO1",-1.24981261815346,6.54147085180263,128.123500164331,7.16624052746265e-08,4.71137994362593e-06
"LY6G6F",-8.1411209404255,5.62745337211614,126.339426934724,7.21514300686287e-08,4.72492835574914e-06
"SLC35G1",-2.79710474285422,4.73941734681509,127.334271851013,7.42875057342412e-08,4.84580882131286e-06
"KCNS2",-5.32913299526492,-0.0228175551823882,79.6221939958146,7.57388293179637e-08,4.9212556839715e-06
"PRSS53",-4.2758799164548,5.31881152210288,126.564854988594,7.70047366779068e-08,4.98411665807894e-06
"PDHB",-1.3859445108648,6.02720152902898,126.16122826594,7.81955844594341e-08,5.02226178803111e-06
"GXYLT2",-2.24078062502447,6.0107344898411,125.747486357578,7.96769010891257e-08,5.09779529228854e-06
"ODC1",-2.7625768341628,6.9819868848848,124.458605024256,8.44301376942915e-08,5.34052602029157e-06
"CCT3",-1.14097222426604,7.78200409117671,124.283666358588,8.51015863381343e-08,5.36268449154907e-06
"FZD10",-2.22890974129641,5.8694790786864,124.125460912056,8.57352528018604e-08,5.37910590379871e-06
"LOC125281514",-11.3602948972167,5.61101900219429,87.0594176781722,8.72575060243894e-08,5.41677729777427e-06
"PTPRF",-1.07049718556442,8.70108073487923,122.99722901461,9.02443340453175e-08,5.56084920377401e-06
"FABP5",-2.59000906532304,8.69098607411016,122.571604299764,9.20248620818764e-08,5.64971754376932e-06
"NTS",-4.80199829998521,4.64590379273814,122.728322913653,9.25812376584812e-08,5.6630552661501e-06
"DSG4",-6.27435532224748,5.3665779480085,122.842307259951,9.50838006084742e-08,5.76248482951394e-06
"MDH2",-1.13984126792074,7.31933756638899,121.826296728476,9.52419793368373e-08,5.76248482951394e-06
"LOC113265177",-9.92094499449137,6.80853749483811,108.065937613962,9.89352799852047e-08,5.89251458971064e-06
"PRELP",-3.44989844777694,7.34351009657847,120.971488830903,9.91147304999319e-08,5.89251458971064e-06
"PDIA4",-1.37244648130873,6.27105127006744,120.845487376452,9.96776982630653e-08,5.89251458971064e-06
"DYNLL1",-1.52685437934236,7.76419443098272,120.797727128722,9.98988381042243e-08,5.89251458971064e-06
"ESM1",-3.6565055207651,1.05228764034899,115.176868368054,1.00394310432496e-07,5.89251458971064e-06
"LOC113260612",-1.88323649755179,3.06396858863343,120.686153585306,1.00788573771171e-07,5.89251458971064e-06
"CNTFR",-3.20445114206307,4.72237952279556,120.614116112964,1.00919766013369e-07,5.89251458971064e-06
"PFKFB1",-5.066981352926,2.34973452114581,114.782704608813,1.01946183870423e-07,5.93170496324807e-06
"IQSEC3",-6.07352148992344,1.46898188097425,68.071359072256,1.04591140762726e-07,6.04348601936593e-06
"FZD8",-2.73876223962362,5.27179144552904,119.585230726137,1.05788389572511e-07,6.0915873016254e-06
"ITGBL1",-2.72251872500225,5.34048671077787,119.236376951268,1.07538467937614e-07,6.14994820578842e-06
