"","logFC","logCPM","F","PValue","FDR"
"PPP1R13L",1.27607160467052,8.4242636374778,122.061517529776,9.42126168212163e-08,5.74181200108573e-06
"ATF1",1.53327701144224,5.99241808445613,121.728676756088,9.5674612739508e-08,5.7677630257655e-06
"UCN2",3.42591435358505,1.85901922272219,123.842187398323,9.70684816248447e-08,5.83074307429238e-06
"CCDC112",1.38831781895001,4.18943789854186,120.67766304661,1.00552476757639e-07,5.89251458971064e-06
"MCM8",1.62234212333612,4.8577332398572,120.067648946863,1.03409849489063e-07,5.99597596047866e-06
"GLMN",1.21553500339576,5.59688619367406,119.481646697613,1.06267531106796e-07,6.09814949124533e-06
"DZANK1",2.99413030232069,3.75630664193989,119.031628438874,1.09082023324699e-07,6.1951874363711e-06
"LOC113271173",1.35978834586153,5.59005811506479,118.913555600712,1.09157696705625e-07,6.1951874363711e-06
"MMP17",2.53039438915811,2.40236551203953,119.133664722831,1.10391213356185e-07,6.20681101627926e-06
"NUPR2",2.6562084880838,2.55154099985511,117.290181367426,1.20255960346447e-07,6.58856612213772e-06
"LOC113260058",2.0657567601622,4.18115193547992,115.369280443145,1.29483624855e-07,6.95109577450178e-06
"ZNF594",1.58681250894036,3.77674755548793,115.265478880572,1.30160129244522e-07,6.95109577450178e-06
"LOC130544088",6.36004543855523,0.816803182094524,81.9260105069954,1.31466736917622e-07,6.97153680088977e-06
"ITGB4",1.48110355158637,10.0924022093267,115.027365191174,1.31506922107927e-07,6.97153680088977e-06
"HYAL1",1.69357151858089,3.92369554222333,114.792767252526,1.33181382946305e-07,7.03796175259603e-06
"LOC130542316",2.08045805926172,3.02692850934755,114.329426305624,1.36748389977315e-07,7.13668355481392e-06
"FCHO2",1.26251438528611,6.37624680666798,113.871091521968,1.39165186398903e-07,7.23962444758653e-06
"PHTF1",1.19727826917211,5.73225012122842,113.555181817583,1.41348172973402e-07,7.33035136795913e-06
"HDAC11",1.42156737736688,3.99653681324862,113.06595039654,1.44956847516494e-07,7.41472648962527e-06
"ARHGEF37",1.77950817473099,7.70109766605784,113.021988655111,1.45118132954909e-07,7.41472648962527e-06
"LOC130543615",2.17959817534406,1.76727211712629,112.992052413748,1.5121816765485e-07,7.65209752020709e-06
"PAN3",1.13870548829635,6.84232563545622,111.956830830354,1.53010907843234e-07,7.71942341412136e-06
"ARHGEF5",1.15713707413902,6.62952904995395,111.895297059409,1.53482122623789e-07,7.71987339064655e-06
"ZCCHC8",1.51777552750378,7.00849873583516,110.940853164759,1.61007620131482e-07,7.95463387152549e-06
"FAM76A",1.54300723058886,5.73389712995334,110.801809577811,1.62172364440137e-07,7.9650479817231e-06
"FAM81A",1.30747231887499,4.30586039352474,110.303550466311,1.6636768941151e-07,8.08039629660731e-06
"BCLAF3",2.17754401891465,5.28794038370525,110.29068720927,1.66447493642679e-07,8.08039629660731e-06
"UFL1",1.01937748521693,5.51537489530804,110.112720516528,1.67908109163587e-07,8.08039629660731e-06
"ATP9B",1.57114554289973,6.92047176909564,109.65358364991,1.71847770856353e-07,8.19910264437212e-06
"CCT6B",4.35833439657765,0.0346680502746158,63.6424353811741,1.7439712696097e-07,8.26930202519479e-06
"NDUFA4L2",2.30026270316745,7.47107947663726,109.142025043134,1.76389523600819e-07,8.32070241415277e-06
"LOC113241171",1.95492557837611,2.92905882130518,109.135629901543,1.77307822327578e-07,8.32777101798158e-06
"LOC130543610",4.06677795388741,2.22399311575621,110.112505993585,1.83176940990017e-07,8.54433446254833e-06
"PRIMPOL",1.27412340000438,5.70795525811423,108.252726610414,1.84644321000786e-07,8.58878973925384e-06
"LOC113258266",1.80582482112428,6.09367072164071,108.031605815717,1.86759959286095e-07,8.6470312510709e-06
"PPP3CA",1.36335219623548,6.79274166360976,107.500459511822,1.9193514750801e-07,8.82954553233128e-06
"LOC125280880",3.67744560167769,1.36684574416806,105.055029779851,1.95718890329108e-07,8.96854563530915e-06
"ZC3H6",2.55704743696584,6.24912410702812,107.045005062518,1.9656792038584e-07,8.96854563530915e-06
"USP8",1.02455675549737,6.71137177181503,106.36967323609,2.03572121041053e-07,9.09887421105786e-06
"LOC113249696",3.28864021262244,2.27051164629114,106.796869320069,2.14106371590202e-07,9.43367361262476e-06
"MDM1",1.62608395736049,4.24744462411712,104.802850866225,2.21261919104264e-07,9.69453897946055e-06
"LOC113246330",2.24579758436933,2.60336236670549,104.931326815112,2.21768602320734e-07,9.69453897946055e-06
"LOC113269674",2.01187730060975,4.68875300715356,104.356418952292,2.26511128949489e-07,9.79924700084848e-06
"TRMT2B",1.5225589091475,4.61154318468721,104.239007080718,2.2790810237751e-07,9.83420517209828e-06
"ORC2",1.42040118570624,5.6380155571676,103.885598626371,2.32185827558703e-07,9.96727798046989e-06
"FGFR4",2.27331797892111,4.28650503108387,103.708441422511,2.34598351670998e-07,9.98382558358973e-06
"HYKK",1.6607964254421,4.7943581631969,103.620396586311,2.35560649136736e-07,9.98382558358973e-06
"MOK",1.79177287451329,3.92733524883647,103.123339990139,2.42116204700467e-07,1.01841272098063e-05
"ZFP28",1.21065529826425,5.49170118286658,103.053886034875,2.42776268283435e-07,1.01862334272992e-05
"DOC2B",1.60670541157864,5.83496017053006,102.539539635221,2.49605537168417e-07,1.03793689750594e-05
"CNKSR1",1.20540160610699,6.27778963944073,102.516802136144,2.49865640336181e-07,1.03793689750594e-05
"SLC17A7",1.1919139050857,4.47044951281245,101.852381761547,2.59146643170232e-07,1.05806596437646e-05
"HES3",2.44557181033343,2.75400982131366,101.957368787494,2.6012054145908e-07,1.05945193215248e-05
"RBM43",1.17061638046611,5.08437102881271,101.659733918294,2.6181938796783e-07,1.06377663252428e-05
"RAPGEF5",1.0337958345453,7.0800300775752,101.124482574392,2.69528004001603e-07,1.08570435903181e-05
"PTK2B",1.40059161971981,6.53486408747876,100.501971742225,2.78899510376592e-07,1.11153769063931e-05
"WDFY3",1.22771032861139,7.11920056058837,100.439162861073,2.79864540245116e-07,1.11272808513171e-05
"PDK1",2.01336969283351,7.35919309404874,100.297612291068,2.82056899233143e-07,1.11621635137576e-05
"LOC130542660",3.40173368925879,0.768565094500913,92.7098752306771,2.88179684514935e-07,1.12700528143206e-05
"FXYD6",1.19251838837722,8.21198808776686,98.9662996925565,3.03678818462112e-07,1.18208218869436e-05
"LOC130542170",2.54283197094432,2.48822943564769,99.0908261235903,3.06810250523268e-07,1.18872955301347e-05
"DCAF8",1.39209813086771,7.92519740490665,98.5625936835644,3.10612534955299e-07,1.19518411687634e-05
"IL10RB",1.01335924938101,4.7724515324656,98.5398968966371,3.11079461329305e-07,1.19518411687634e-05
"ARHGEF6",1.28702698720183,5.28228366903234,98.5245729588654,3.11339056734659e-07,1.19518411687634e-05
"DAGLB",1.63391112713331,7.08580247670867,97.9006871818029,3.22383956620225e-07,1.22630744683397e-05
"LOC130544312",1.834448761623,4.19779287243346,97.5126521022392,3.29822730016073e-07,1.24891377971392e-05
